trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,5676.70,938,5000,1310,19,19,4
2,2,5705.13,1391,5000,1319,15,15,4
3,3,5659.82,341,5000,1716,13,13,4
4,4,5659.82,387,5000,1750,14,16,3
5,5,5676.70,358,5000,1269,10,14,4
6,6,5659.82,1283,5000,1723,18,22,3
7,7,5705.13,332,5000,1306,12,17,4
8,8,5688.25,345,5000,1749,14,16,3
9,9,5688.25,413,5000,1794,16,19,4
10,10,5676.70,850,5000,1298,16,16,5
11,11,5659.82,382,5000,1711,14,15,3
12,12,5659.82,876,5000,1762,13,20,4
13,13,5659.82,275,5000,1744,15,15,4
14,14,5659.82,696,5000,1709,14,20,4
15,15,5688.25,1132,5000,1853,18,20,4
16,16,5747.88,2587,5000,1555,11,17,4
17,17,5676.70,169,5000,1218,10,16,4
18,18,5659.82,1249,5000,1751,14,20,5
19,19,5688.25,1041,5000,1833,18,18,5
20,20,5688.25,266,5000,1879,13,13,4
21,21,5705.13,219,5000,1292,12,12,4
22,22,5705.13,840,5000,1417,13,13,3
23,23,5747.88,390,5000,1499,10,15,4
24,24,5659.82,612,5000,1747,18,18,4
25,25,5659.82,1212,5000,1676,13,16,4
26,26,5901.10,2254,5000,1266,8,11,4
27,27,5676.70,234,5000,1263,9,9,4
28,28,5676.70,1249,5000,1273,11,11,4
29,29,5659.82,67,5000,1683,12,12,3
30,30,5659.82,182,5000,1701,11,15,4
