trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,2849.23,128,5000,5001,13,13,32
2,2,2849.23,30,5000,5001,8,8,13
3,3,2849.23,169,5000,5001,12,12,6
4,4,2849.23,236,5000,5000,14,14,6
5,5,2849.23,119,5000,5001,11,11,6
6,6,2849.23,75,5000,5000,11,11,6
7,7,2849.23,46,5000,5001,9,9,5
8,8,2849.23,99,5000,5001,10,10,5
9,9,2849.23,32,5000,5001,8,8,6
10,10,2849.23,76,5000,5001,10,10,6
11,11,2849.23,72,5000,5001,13,13,5
12,12,2849.23,65,5000,5001,10,10,5
13,13,2849.23,83,5000,5001,11,11,7
14,14,2849.23,107,5000,5001,14,14,5
15,15,2849.23,23,5000,5001,8,8,4
16,16,2849.23,31,5000,5001,8,8,6
17,17,2849.23,18,5000,5001,6,6,4
18,18,2849.23,41,5000,5001,11,11,5
19,19,2849.23,69,5000,5001,8,8,4
20,20,2849.23,31,5000,5001,9,9,5
21,21,2849.23,25,5000,5001,7,7,3
22,22,2849.23,166,5000,5001,16,16,5
23,23,2849.23,73,5000,5001,10,10,4
24,24,2849.23,57,5000,5001,10,10,4
25,25,2849.23,248,5000,5001,17,17,4
26,26,2849.23,144,5000,5000,17,17,5
27,27,2849.23,63,5000,5001,5,5,4
28,28,2849.23,66,5000,5001,7,7,4
29,29,2849.23,63,5000,5001,11,11,4
30,30,2849.23,76,5000,5001,6,6,5
