trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,4226.09,735,5000,2775,13,13,4
2,2,4226.09,256,5000,2812,11,11,4
3,3,4226.09,1331,5000,2907,13,13,5
4,4,4226.09,1453,5000,2898,17,17,3
5,5,4226.09,1385,5000,3000,18,18,4
6,6,4226.09,143,5000,2875,11,11,4
7,7,4226.09,330,5000,2829,17,17,5
8,8,4226.09,1620,5000,2739,15,15,3
9,9,4226.09,187,5000,2803,8,8,4
10,10,4226.09,236,5000,2824,8,8,4
11,11,4226.09,265,5000,2827,12,14,4
12,12,4226.09,526,5000,2860,13,18,4
13,13,4226.09,606,5000,2869,15,15,4
14,14,4226.09,328,5000,2801,12,12,4
15,15,4226.09,70,5000,2859,9,9,4
16,16,4226.09,1541,5000,2858,16,16,4
17,17,4226.09,355,5000,2907,16,16,4
18,18,4226.09,214,5000,2900,15,15,4
19,19,4226.09,201,5000,2896,11,11,3
20,20,4226.09,218,5000,2873,11,11,5
21,21,4226.09,148,5000,2857,11,11,4
22,22,4226.09,239,5000,2919,13,13,4
23,23,4226.09,899,5000,2803,12,12,3
24,24,4226.09,1037,5000,2739,15,17,5
25,25,4226.09,544,5000,2823,13,13,4
26,26,4226.09,730,5000,2788,17,17,3
27,27,4226.09,391,5000,2875,10,10,4
28,28,4226.09,454,5000,2889,10,13,4
29,29,4226.09,211,5000,2921,17,19,5
30,30,4226.09,570,5000,2837,13,13,3
