trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,3034.36,128,5000,5001,13,13,5
2,2,3034.36,30,5000,5001,8,8,4
3,3,3034.36,169,5000,5001,12,12,5
4,4,3034.36,236,5000,5000,14,14,3
5,5,3034.36,119,5000,5001,11,11,4
6,6,3034.36,75,5000,5000,11,11,5
7,7,3034.36,100,5000,5001,10,10,4
8,8,3034.36,99,5000,5001,10,10,4
9,9,3034.36,32,5000,5001,8,8,4
10,10,3034.36,76,5000,5001,10,10,4
11,11,3034.36,72,5000,5001,13,13,4
12,12,3034.36,65,5000,5001,10,10,4
13,13,3034.36,83,5000,5001,11,11,4
14,14,3034.36,107,5000,5001,14,14,5
15,15,3034.36,23,5000,5001,8,8,4
16,16,3034.36,31,5000,5001,8,8,4
17,17,3034.36,18,5000,5001,6,6,4
18,18,3034.36,41,5000,5001,11,11,4
19,19,3034.36,69,5000,5001,8,8,4
20,20,3034.36,31,5000,5001,9,9,5
21,21,3034.36,25,5000,5001,7,7,3
22,22,3034.36,166,5000,5001,16,16,4
23,23,3034.36,34,5000,5001,8,8,4
24,24,3034.36,57,5000,5001,10,10,5
25,25,3034.36,248,5000,5001,17,17,3
26,26,3034.36,144,5000,5000,17,17,4
27,27,3034.36,63,5000,5001,5,5,4
28,28,3034.36,66,5000,5001,7,7,4
29,29,3034.36,63,5000,5001,11,11,5
30,30,3034.36,76,5000,5001,6,6,4
