trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,3975.51,735,5000,2775,13,13,13
2,2,3975.51,256,5000,2810,10,10,5
3,3,3975.51,1331,5000,2907,13,13,5
4,4,3975.51,1453,5000,2898,17,17,3
5,5,3975.51,1385,5000,3000,18,18,4
6,6,3975.51,143,5000,2875,11,11,4
7,7,3975.51,330,5000,2829,17,17,5
8,8,3975.51,1620,5000,2739,15,15,3
9,9,3975.51,187,5000,2803,8,8,4
10,10,3975.51,236,5000,2824,8,8,4
11,11,3975.51,265,5000,2827,12,14,5
12,12,3975.51,526,5000,2861,13,18,3
13,13,3975.51,606,5000,2869,15,15,4
14,14,3975.51,328,5000,2802,12,12,5
15,15,3975.51,70,5000,2859,9,9,3
16,16,3975.51,1541,5000,2858,16,16,4
17,17,3975.51,355,5000,2908,17,17,4
18,18,3975.51,214,5000,2900,15,15,5
19,19,3975.51,201,5000,2897,11,11,3
20,20,3975.51,218,5000,2873,11,11,4
21,21,3975.51,148,5000,2857,11,11,4
22,22,3975.51,239,5000,2919,13,13,5
23,23,3975.51,899,5000,2803,12,12,3
24,24,3975.51,1037,5000,2739,14,17,5
25,25,3975.51,544,5000,2823,13,13,4
26,26,3975.51,563,5000,2831,16,16,5
27,27,3975.51,391,5000,2873,12,12,6
28,28,3975.51,454,5000,2889,10,13,4
29,29,3975.51,211,5000,2921,16,19,5
30,30,3975.51,570,5000,2837,13,13,3
