trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,4101.47,735,5000,2775,13,13,3
2,2,4101.47,256,5000,2810,10,10,5
3,3,4101.47,1331,5000,2907,13,13,4
4,4,4101.47,1453,5000,2898,17,17,3
5,5,4101.47,1385,5000,3000,18,18,4
6,6,4101.47,143,5000,2875,11,11,4
7,7,4101.47,330,5000,2829,17,17,4
8,8,4101.47,1620,5000,2739,15,15,4
9,9,4101.47,187,5000,2803,8,8,4
10,10,4101.47,236,5000,2824,8,8,5
11,11,4101.47,265,5000,2827,12,14,4
12,12,4101.47,526,5000,2860,13,18,5
13,13,4101.47,606,5000,2869,15,15,4
14,14,4101.47,328,5000,2802,12,12,4
15,15,4101.47,70,5000,2859,9,9,4
16,16,4101.47,1541,5000,2858,16,16,3
17,17,4101.47,355,5000,2907,16,16,4
18,18,4101.47,214,5000,2900,15,15,3
19,19,4101.47,201,5000,2896,11,11,4
20,20,4101.47,218,5000,2873,11,11,4
21,21,4101.47,148,5000,2857,11,11,4
22,22,4101.47,239,5000,2919,13,13,4
23,23,4101.47,899,5000,2803,12,12,4
24,24,4101.47,1037,5000,2739,15,17,4
25,25,4101.47,544,5000,2823,13,13,4
26,26,4101.47,563,5000,2831,16,16,3
27,27,4101.47,391,5000,2875,10,10,4
28,28,4101.47,454,5000,2889,10,13,4
29,29,4101.47,211,5000,2921,17,19,5
30,30,4101.47,570,5000,2837,13,13,3
