trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,5500.96,566,5000,1714,17,17,4
2,2,5459.80,1575,5000,1569,15,15,4
3,3,5459.80,735,5000,1682,13,13,4
4,4,5459.80,3406,5000,1768,15,17,4
5,5,5517.84,358,5000,1307,10,14,4
6,6,5529.39,365,5000,1847,13,15,4
7,7,5546.27,332,5000,1347,12,17,5
8,8,5459.80,3830,5000,1399,15,17,3
9,9,5529.39,857,5000,1838,13,14,4
10,10,5517.84,850,5000,1324,16,16,4
11,11,5459.80,4438,5000,1738,15,16,4
12,12,5500.96,575,5000,1756,16,22,4
13,13,5500.96,129,5000,1788,16,16,4
14,14,5500.96,696,5000,1759,14,20,4
15,15,5529.39,119,5000,1879,11,16,4
16,16,5459.80,3096,5000,1563,15,24,3
17,17,5517.84,169,5000,1265,10,16,4
18,18,5517.84,107,5000,1257,9,11,4
19,19,5459.80,1573,5000,1700,21,21,3
20,20,5529.39,266,5000,1919,13,13,4
21,21,5546.27,219,5000,1339,12,12,4
22,22,5517.84,1536,5000,1397,15,15,3
23,23,5578.21,390,5000,1537,10,15,4
24,24,5459.80,4969,5000,1250,16,16,4
25,25,5500.96,197,5000,1726,14,17,5
26,26,5578.21,1711,5000,1516,10,13,3
27,27,5517.84,234,5000,1311,9,9,5
28,28,5459.80,837,5000,1586,10,10,4
29,29,5500.96,413,5000,1729,15,16,4
30,30,5500.96,470,5000,1742,11,11,4
