No.,Loop,BestPrice
1,3401,7758.96
2,1763,7758.96
3,3945,7758.96
4,699,7758.96
5,4498,8020.23
6,3927,7777.91
7,1145,7777.91
8,3897,7758.96
9,4156,7817.40
10,266,8066.56
11,2607,7777.91
12,351,8020.23
13,3821,7777.91
14,4112,8023.41
15,1212,7758.96
16,4880,7758.96
17,4978,7758.96
18,1384,8020.80
19,4252,7758.96
20,3748,7758.96
21,2919,7817.40
22,1468,8066.56
23,4427,7758.96
24,3517,7801.61
25,4272,7832.01
26,1390,7758.96
27,1662,8083.14
28,3854,7758.96
29,2923,7801.61
30,869,7777.91
