trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,4101.47,4949,5000,2997,19,19,8
2,2,4101.47,1383,5000,3083,26,26,5
3,3,4101.47,652,5000,3132,24,24,6
4,4,4101.47,2684,5000,3175,33,33,7
5,5,4101.47,2804,5000,3294,22,22,7
6,6,4101.47,4021,5000,2926,23,23,6
7,7,4101.47,1668,5000,3026,25,25,7
8,8,4101.47,2385,5000,2950,30,30,6
9,9,4111.90,3478,5000,3184,30,30,7
10,10,4101.47,3571,5000,3258,24,24,7
11,11,4101.47,1878,5000,2916,23,23,7
12,12,4101.47,1350,5000,3190,22,22,6
13,13,4141.75,4352,5000,3278,30,30,6
14,14,4111.90,3209,5000,3202,35,35,7
15,15,4101.47,1039,5000,3075,26,26,6
16,16,4141.75,2190,5000,3078,27,27,7
17,17,4101.47,648,5000,3209,26,26,7
18,18,4101.47,2117,5000,3164,22,22,5
19,19,4101.47,1440,5000,3119,26,26,7
20,20,4101.47,1933,5000,3257,28,28,7
21,21,4101.47,4780,5000,3427,23,23,9
22,22,4101.47,3987,5000,3150,32,32,7
23,23,4112.85,1223,5000,2881,27,27,5
24,24,4101.47,531,5000,3054,24,24,7
25,25,4101.47,410,5000,3060,22,22,6
26,26,4112.85,4063,5000,2798,24,24,7
27,27,4101.47,1067,5000,3101,26,26,7
28,28,4101.47,1401,5000,3107,21,21,5
29,29,4112.85,3757,5000,3137,28,28,7
30,30,4101.47,1409,5000,3156,22,22,6
