trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,5578.21,735,5000,1694,27,27,8
2,2,5517.84,2554,5000,1796,35,35,6
3,3,5517.84,4006,5000,1892,35,35,7
4,4,5546.27,4108,5000,1771,37,37,7
5,5,5529.39,1011,5000,2122,32,32,6
6,6,5529.39,2592,5000,2100,33,33,8
7,7,5539.96,3578,5000,1829,30,30,8
8,8,5548.35,4125,5000,2062,36,36,9
9,9,5600.47,1918,5000,2155,28,28,7
10,10,5546.27,2539,5000,1755,36,36,7
11,11,5539.96,4540,5000,1904,33,33,7
12,12,5563.45,1275,5000,2233,25,25,7
13,13,5552.59,772,5000,1653,39,39,8
14,14,5607.04,1316,5000,1831,29,29,7
15,15,5565.23,3476,5000,1774,27,27,7
16,16,5578.21,3643,5000,1848,33,33,8
17,17,5517.84,3231,5000,1829,24,24,9
18,18,5546.27,2835,5000,1909,41,41,10
19,19,5500.96,916,5000,2120,37,37,9
20,20,5563.45,4877,5000,2319,32,32,6
21,21,5546.27,3470,5000,1686,34,34,7
22,22,5500.96,1040,5000,2201,29,29,6
23,23,5500.96,2909,5000,2263,32,32,6
24,24,5539.96,509,5000,1652,31,31,9
25,25,5563.45,2548,5000,2207,38,38,5
26,26,5598.00,4822,5000,1786,39,39,9
27,27,5578.21,1121,5000,1755,32,32,6
28,28,5500.96,4762,5000,1929,24,24,8
29,29,5500.96,3385,5000,1992,33,33,6
30,30,5753.10,1749,5000,2159,34,34,7
