trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,2849.23,464,5000,4994,16,16,83
2,2,2849.23,236,5000,4999,20,20,26
3,3,2849.23,280,5000,4985,20,20,15
4,4,2849.23,251,5000,4997,19,19,19
5,5,2849.23,505,5000,4998,19,19,15
6,6,2849.23,1158,5000,4990,16,16,9
7,7,2849.23,526,5000,4989,19,19,7
8,8,2849.23,384,5000,4985,22,22,7
9,9,2849.23,707,5000,4995,18,18,7
10,10,2849.23,323,5000,4997,18,18,7
11,11,2849.23,126,5000,4996,19,19,8
12,12,2849.23,311,5000,4997,15,15,8
13,13,2849.23,401,5000,4993,19,19,13
14,14,2849.23,241,5000,4996,18,18,23
15,15,2849.23,256,5000,4999,13,13,17
16,16,2849.23,304,5000,5000,18,18,15
17,17,2849.23,208,5000,4992,17,17,12
18,18,2849.23,656,5000,4995,21,21,9
19,19,2849.23,418,5000,4993,22,22,12
20,20,2849.23,214,5000,4994,16,16,13
21,21,2849.23,475,5000,5000,23,23,12
22,22,2849.23,477,5000,4997,22,22,12
23,23,2849.23,341,5000,4996,19,19,12
24,24,2849.23,482,5000,4997,16,16,13
25,25,2849.23,478,5000,4975,27,27,11
26,26,2849.23,170,5000,4994,18,18,12
27,27,2849.23,84,5000,4999,14,14,8
28,28,2849.23,221,5000,5001,12,12,6
29,29,2849.23,479,5000,4986,18,18,11
30,30,2849.23,154,5000,4994,18,18,16
