trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,2942.29,464,5000,4994,16,16,16
2,2,2942.29,236,5000,4999,20,20,13
3,3,2942.29,280,5000,4985,20,20,14
4,4,2942.29,251,5000,4997,19,19,13
5,5,2942.29,505,5000,4998,19,19,7
6,6,2942.29,1158,5000,4990,16,16,10
7,7,2942.29,526,5000,4989,19,19,13
8,8,2942.29,384,5000,4985,23,23,13
9,9,2942.29,707,5000,4995,18,18,7
10,10,2942.29,323,5000,4997,18,18,7
11,11,2942.29,126,5000,4996,19,19,10
12,12,2942.29,311,5000,4997,15,15,7
13,13,2942.29,96,5000,4996,17,17,8
14,14,2942.29,241,5000,4996,18,18,7
15,15,2942.29,256,5000,4999,13,13,7
16,16,2942.29,304,5000,5000,20,20,7
17,17,2942.29,208,5000,4992,17,17,7
18,18,2942.29,656,5000,4995,19,19,8
19,19,2942.29,418,5000,4993,22,22,6
20,20,2942.29,214,5000,4994,16,16,8
21,21,2942.29,475,5000,5000,23,23,7
22,22,2942.29,477,5000,4997,22,22,7
23,23,2942.29,341,5000,4996,19,19,7
24,24,2942.29,482,5000,4997,16,16,7
25,25,2942.29,478,5000,4975,27,27,8
26,26,2942.29,170,5000,4994,18,18,6
27,27,2942.29,84,5000,4999,14,14,8
28,28,2942.29,221,5000,5001,12,12,7
29,29,2942.29,479,5000,4986,18,18,8
30,30,2942.29,154,5000,4994,18,18,7
