trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,3034.36,464,5000,4994,16,16,8
2,2,3034.36,236,5000,4999,20,20,6
3,3,3034.36,280,5000,4985,20,20,9
4,4,3034.36,251,5000,4997,19,19,7
5,5,3034.36,505,5000,4998,19,19,7
6,6,3034.36,1158,5000,4990,16,16,6
7,7,3034.36,526,5000,4989,19,19,8
8,8,3034.36,384,5000,4985,23,23,9
9,9,3034.36,707,5000,4995,18,18,7
10,10,3034.36,323,5000,4997,18,18,7
11,11,3034.36,126,5000,4996,17,17,7
12,12,3034.36,311,5000,4997,15,15,8
13,13,3034.36,131,5000,4996,16,16,7
14,14,3034.36,241,5000,4996,18,18,9
15,15,3034.36,256,5000,4999,13,13,7
16,16,3034.36,211,5000,5000,20,20,11
17,17,3034.36,208,5000,4992,17,17,9
18,18,3034.36,656,5000,4995,19,19,8
19,19,3034.36,418,5000,4993,22,22,7
20,20,3034.36,214,5000,4994,16,16,11
21,21,3034.36,475,5000,5000,23,23,7
22,22,3034.36,477,5000,4997,22,22,10
23,23,3034.36,237,5000,4998,13,13,7
24,24,3034.36,482,5000,4997,16,16,8
25,25,3034.36,247,5000,4978,22,22,7
26,26,3034.36,170,5000,4994,18,18,8
27,27,3034.36,84,5000,4999,14,14,6
28,28,3034.36,221,5000,5001,12,12,7
29,29,3034.36,479,5000,4986,18,18,8
30,30,3034.36,154,5000,4994,19,19,7
