trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,4226.09,4949,5000,2974,19,19,9
2,2,4226.09,844,5000,3073,26,26,28
3,3,4226.09,652,5000,3105,24,24,7
4,4,4226.09,145,5000,3105,26,26,5
5,5,4226.09,2804,5000,3273,22,22,9
6,6,4226.09,4021,5000,2903,23,23,15
7,7,4226.09,1668,5000,3009,25,25,14
8,8,4226.09,428,5000,3051,28,28,8
9,9,4226.09,2560,5000,3003,21,21,6
10,10,4226.09,552,5000,3097,20,20,18
11,11,4226.09,1878,5000,2887,23,23,7
12,12,4226.09,4956,5000,2866,29,29,6
13,13,4266.37,4352,5000,3248,30,30,7
14,14,4236.52,3209,5000,3209,35,35,5
15,15,4226.09,1039,5000,3048,26,26,7
16,16,4226.09,2942,5000,3041,26,26,6
17,17,4226.09,648,5000,3186,26,26,7
18,18,4226.09,593,5000,3068,22,22,11
19,19,4226.09,1440,5000,3101,26,26,5
20,20,4226.09,1933,5000,3227,28,28,7
21,21,4226.09,4780,5000,3395,23,23,7
22,22,4237.47,4073,5000,2834,28,28,7
23,23,4237.47,1223,5000,2855,27,27,7
24,24,4226.09,531,5000,3021,24,24,5
25,25,4226.09,2780,5000,3161,30,30,7
26,26,4237.47,4063,5000,2780,24,24,7
27,27,4226.09,1067,5000,3081,26,26,8
28,28,4226.09,1401,5000,3079,21,21,9
29,29,4237.47,3757,5000,3111,28,28,6
30,30,4226.09,1409,5000,3128,22,22,7
