trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,5892.32,3710,5000,1967,28,28,7
2,2,5845.42,1189,5000,2091,35,35,6
3,3,5892.32,2101,5000,2076,29,29,6
4,4,5833.87,2015,5000,1633,38,38,7
5,5,5816.99,1662,5000,1991,34,34,7
6,6,5816.99,2174,5000,2052,32,32,7
7,7,5916.80,1264,5000,1696,29,29,7
8,8,5833.87,2948,5000,1739,29,29,7
9,9,5863.88,3883,5000,1735,30,30,7
10,10,5925.74,4649,5000,1866,30,30,7
11,11,5833.87,4631,5000,1904,39,39,8
12,12,5816.99,4243,5000,2092,30,30,5
13,13,5868.62,772,5000,1589,37,37,7
14,14,5833.87,2441,5000,1687,32,32,10
15,15,5881.26,3476,5000,1797,27,27,12
16,16,5864.38,3078,5000,2078,37,37,6
17,17,5833.87,2325,5000,1707,22,22,6
18,18,5816.99,2626,5000,2169,39,39,6
19,19,5862.30,3137,5000,1748,38,38,10
20,20,5911.27,4061,5000,2263,36,36,8
21,21,5863.88,2844,5000,2205,41,41,9
22,22,5845.42,712,5000,2142,29,29,7
23,23,5915.75,2776,5000,1593,29,29,6
24,24,5833.87,4057,5000,1821,32,32,7
25,25,5862.30,2164,5000,1813,35,35,7
26,26,5833.87,3979,5000,2100,40,40,10
27,27,5916.50,3284,5000,2411,38,38,6
28,28,5864.38,429,5000,2029,24,24,6
29,29,5833.87,3446,5000,1741,32,32,7
30,30,5863.88,4774,5000,1687,40,40,6
