trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,5688.25,1797,5000,1974,29,29,5
2,2,5688.25,1189,5000,2104,35,35,8
3,3,5827.39,1512,5000,1779,30,30,7
4,4,5676.70,2015,5000,1654,38,38,7
5,5,5688.25,1011,5000,2075,32,32,8
6,6,5688.25,2592,5000,2114,34,34,6
7,7,5796.35,3584,5000,1905,34,34,10
8,8,5659.82,1350,5000,2078,36,36,7
9,9,5706.71,3883,5000,1755,30,30,11
10,10,5705.13,2539,5000,1718,36,36,8
11,11,5688.25,2974,5000,1830,36,36,6
12,12,5688.25,879,5000,2143,24,24,7
13,13,5711.45,772,5000,1602,38,38,7
14,14,5659.82,4205,5000,2140,30,30,8
15,15,5724.09,3476,5000,1810,27,27,7
16,16,5735.15,2127,5000,2088,35,35,5
17,17,5676.70,2325,5000,1730,22,22,7
18,18,5659.82,2626,5000,2193,39,39,7
19,19,5705.13,3137,5000,1759,38,38,7
20,20,5754.10,4061,5000,2286,36,36,10
21,21,5659.82,4472,5000,2096,37,37,6
22,22,5688.25,712,5000,2162,29,29,7
23,23,5659.82,2909,5000,1994,31,31,6
24,24,5676.70,4057,5000,1856,32,32,7
25,25,5705.13,2164,5000,1825,35,35,7
26,26,5676.70,3979,5000,2114,40,40,6
27,27,5688.25,1490,5000,2243,43,43,7
28,28,5707.21,429,5000,2052,24,24,6
29,29,5676.70,3446,5000,1764,32,32,7
30,30,5659.82,2146,5000,2182,37,37,8
