phase,run_id,algorithm,trial,H,qa,phi,fc,fy,max_iter,total_cost,iter_to_best,is_valid,fs_ot,fs_sl,fs_bc,tt,tb,tbase,base_w,ltoe,lheel,stem_db_mm,stem_sp_m,toe_db_mm,toe_sp_m,heel_db_mm,heel_sp_m,runtime_sec,timestamp
A3,A3_BA_H4_fc280_t14,BA,14,4.0,30.0,30.0,280,4000,5000,4101.47,269,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:04
A3,A3_BA_H4_fc280_t15,BA,15,4.0,30.0,30.0,280,4000,5000,4101.47,1091,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:04
A3,A3_BA_H4_fc280_t16,BA,16,4.0,30.0,30.0,280,4000,5000,4101.47,674,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:05
A3,A3_BA_H4_fc280_t17,BA,17,4.0,30.0,30.0,280,4000,5000,4267.51,1743,1,2.935,2.339,2.883,0.200,0.200,0.350,2.000,0.600,1.200,12,0.25,12,0.25,12,0.15,0.32,2569-04-26 16:53:05
A3,A3_BA_H4_fc280_t18,BA,18,4.0,30.0,30.0,280,4000,5000,4101.47,397,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:05
A3,A3_BA_H4_fc280_t19,BA,19,4.0,30.0,30.0,280,4000,5000,4101.47,120,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:06
A3,A3_BA_H4_fc280_t20,BA,20,4.0,30.0,30.0,280,4000,5000,4101.47,1200,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.35,2569-04-26 16:53:06
A3,A3_BA_H4_fc280_t21,BA,21,4.0,30.0,30.0,280,4000,5000,4101.47,538,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:06
A3,A3_BA_H4_fc280_t22,BA,22,4.0,30.0,30.0,280,4000,5000,4101.47,163,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:07
A3,A3_BA_H4_fc280_t23,BA,23,4.0,30.0,30.0,280,4000,5000,4101.47,339,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:07
A3,A3_BA_H4_fc280_t24,BA,24,4.0,30.0,30.0,280,4000,5000,4101.47,468,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:07
A3,A3_BA_H4_fc280_t25,BA,25,4.0,30.0,30.0,280,4000,5000,4101.47,2027,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:08
A3,A3_BA_H4_fc280_t26,BA,26,4.0,30.0,30.0,280,4000,5000,4101.47,456,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:08
A3,A3_BA_H4_fc280_t27,BA,27,4.0,30.0,30.0,280,4000,5000,4101.47,306,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:08
A3,A3_BA_H4_fc280_t28,BA,28,4.0,30.0,30.0,280,4000,5000,4101.47,394,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:09
A3,A3_BA_H4_fc280_t29,BA,29,4.0,30.0,30.0,280,4000,5000,4101.47,872,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:09
A3,A3_BA_H4_fc280_t30,BA,30,4.0,30.0,30.0,280,4000,5000,4101.47,466,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:09
A3,A3_HCA_H4_fc280_t01,HCA,1,4.0,30.0,30.0,280,4000,5000,4101.47,3992,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:10
A3,A3_HCA_H4_fc280_t02,HCA,2,4.0,30.0,30.0,280,4000,5000,4101.47,1964,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:10
A3,A3_HCA_H4_fc280_t03,HCA,3,4.0,30.0,30.0,280,4000,5000,4101.47,230,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:10
A3,A3_HCA_H4_fc280_t04,HCA,4,4.0,30.0,30.0,280,4000,5000,4101.47,3476,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:10
A3,A3_HCA_H4_fc280_t05,HCA,5,4.0,30.0,30.0,280,4000,5000,4101.47,3991,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:10
A3,A3_HCA_H4_fc280_t06,HCA,6,4.0,30.0,30.0,280,4000,5000,4101.47,408,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:11
A3,A3_HCA_H4_fc280_t07,HCA,7,4.0,30.0,30.0,280,4000,5000,4101.47,833,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:11
A3,A3_HCA_H4_fc280_t08,HCA,8,4.0,30.0,30.0,280,4000,5000,4150.04,4908,1,2.972,2.396,2.717,0.200,0.200,0.300,2.000,0.500,1.300,12,0.25,12,0.20,16,0.20,0.18,2569-04-26 16:53:11
A3,A3_HCA_H4_fc280_t09,HCA,9,4.0,30.0,30.0,280,4000,5000,4111.90,1739,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,16,0.25,12,0.15,0.20,2569-04-26 16:53:11
A3,A3_HCA_H4_fc280_t10,HCA,10,4.0,30.0,30.0,280,4000,5000,4101.47,2798,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:11
A3,A3_HCA_H4_fc280_t11,HCA,11,4.0,30.0,30.0,280,4000,5000,4111.90,3472,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,16,0.25,12,0.15,0.19,2569-04-26 16:53:12
A3,A3_HCA_H4_fc280_t12,HCA,12,4.0,30.0,30.0,280,4000,5000,4101.47,3914,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:12
A3,A3_HCA_H4_fc280_t13,HCA,13,4.0,30.0,30.0,280,4000,5000,4115.69,954,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,16,0.25,0.18,2569-04-26 16:53:12
A3,A3_HCA_H4_fc280_t14,HCA,14,4.0,30.0,30.0,280,4000,5000,4101.47,4237,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:12
A3,A3_HCA_H4_fc280_t15,HCA,15,4.0,30.0,30.0,280,4000,5000,4101.47,3220,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:12
A3,A3_HCA_H4_fc280_t16,HCA,16,4.0,30.0,30.0,280,4000,5000,4101.47,4074,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:13
A3,A3_HCA_H4_fc280_t17,HCA,17,4.0,30.0,30.0,280,4000,5000,4101.47,297,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:13
A3,A3_HCA_H4_fc280_t18,HCA,18,4.0,30.0,30.0,280,4000,5000,4101.47,3886,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:13
A3,A3_HCA_H4_fc280_t19,HCA,19,4.0,30.0,30.0,280,4000,5000,4101.47,4823,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:13
A3,A3_HCA_H4_fc280_t20,HCA,20,4.0,30.0,30.0,280,4000,5000,4101.47,1800,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.21,2569-04-26 16:53:13
A3,A3_HCA_H4_fc280_t21,HCA,21,4.0,30.0,30.0,280,4000,5000,4101.47,2054,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:13
A3,A3_HCA_H4_fc280_t22,HCA,22,4.0,30.0,30.0,280,4000,5000,4111.90,1921,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,16,0.25,12,0.15,0.19,2569-04-26 16:53:14
A3,A3_HCA_H4_fc280_t23,HCA,23,4.0,30.0,30.0,280,4000,5000,4101.47,1460,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:14
A3,A3_HCA_H4_fc280_t24,HCA,24,4.0,30.0,30.0,280,4000,5000,4101.47,4461,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.21,2569-04-26 16:53:14
A3,A3_HCA_H4_fc280_t25,HCA,25,4.0,30.0,30.0,280,4000,5000,4101.47,778,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:14
A3,A3_HCA_H4_fc280_t26,HCA,26,4.0,30.0,30.0,280,4000,5000,4101.47,2342,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:14
A3,A3_HCA_H4_fc280_t27,HCA,27,4.0,30.0,30.0,280,4000,5000,4101.47,1696,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:15
A3,A3_HCA_H4_fc280_t28,HCA,28,4.0,30.0,30.0,280,4000,5000,4101.47,706,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.21,2569-04-26 16:53:15
A3,A3_HCA_H4_fc280_t29,HCA,29,4.0,30.0,30.0,280,4000,5000,4114.74,2571,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,16,0.25,0.20,2569-04-26 16:53:15
A3,A3_HCA_H4_fc280_t30,HCA,30,4.0,30.0,30.0,280,4000,5000,4101.47,719,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:15
A3,A3_BA_H4_fc320_t01,BA,1,4.0,30.0,30.0,320,4000,5000,4226.09,442,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:16
A3,A3_BA_H4_fc320_t02,BA,2,4.0,30.0,30.0,320,4000,5000,4226.09,267,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:16
A3,A3_BA_H4_fc320_t03,BA,3,4.0,30.0,30.0,320,4000,5000,4226.09,665,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:16
A3,A3_BA_H4_fc320_t04,BA,4,4.0,30.0,30.0,320,4000,5000,4226.09,911,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:17
A3,A3_BA_H4_fc320_t05,BA,5,4.0,30.0,30.0,320,4000,5000,4226.09,494,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:17
A3,A3_BA_H4_fc320_t06,BA,6,4.0,30.0,30.0,320,4000,5000,4226.09,1520,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.35,2569-04-26 16:53:17
A3,A3_BA_H4_fc320_t07,BA,7,4.0,30.0,30.0,320,4000,5000,4226.09,492,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:18
A3,A3_BA_H4_fc320_t08,BA,8,4.0,30.0,30.0,320,4000,5000,4226.09,398,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:18
A3,A3_BA_H4_fc320_t09,BA,9,4.0,30.0,30.0,320,4000,5000,4226.09,470,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:18
A3,A3_BA_H4_fc320_t10,BA,10,4.0,30.0,30.0,320,4000,5000,4226.09,177,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:19
A3,A3_BA_H4_fc320_t11,BA,11,4.0,30.0,30.0,320,4000,5000,4226.09,3746,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:19
A3,A3_BA_H4_fc320_t12,BA,12,4.0,30.0,30.0,320,4000,5000,4226.09,1225,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:19
A3,A3_BA_H4_fc320_t13,BA,13,4.0,30.0,30.0,320,4000,5000,4226.09,232,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:20
A3,A3_BA_H4_fc320_t14,BA,14,4.0,30.0,30.0,320,4000,5000,4226.09,312,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:20
A3,A3_BA_H4_fc320_t15,BA,15,4.0,30.0,30.0,320,4000,5000,4226.09,67,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:20
A3,A3_BA_H4_fc320_t16,BA,16,4.0,30.0,30.0,320,4000,5000,4226.09,502,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:21
A3,A3_BA_H4_fc320_t17,BA,17,4.0,30.0,30.0,320,4000,5000,4226.09,564,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.31,2569-04-26 16:53:21
A3,A3_BA_H4_fc320_t18,BA,18,4.0,30.0,30.0,320,4000,5000,4226.09,1085,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:21
A3,A3_BA_H4_fc320_t19,BA,19,4.0,30.0,30.0,320,4000,5000,4226.09,501,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:22
A3,A3_BA_H4_fc320_t20,BA,20,4.0,30.0,30.0,320,4000,5000,4226.09,514,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:22
A3,A3_BA_H4_fc320_t21,BA,21,4.0,30.0,30.0,320,4000,5000,4226.09,1482,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:22
A3,A3_BA_H4_fc320_t22,BA,22,4.0,30.0,30.0,320,4000,5000,4226.09,1344,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:23
A3,A3_BA_H4_fc320_t23,BA,23,4.0,30.0,30.0,320,4000,5000,4226.09,246,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:23
A3,A3_BA_H4_fc320_t24,BA,24,4.0,30.0,30.0,320,4000,5000,4226.09,170,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:23
A3,A3_BA_H4_fc320_t25,BA,25,4.0,30.0,30.0,320,4000,5000,4226.09,368,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:24
A3,A3_BA_H4_fc320_t26,BA,26,4.0,30.0,30.0,320,4000,5000,4226.09,322,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.31,2569-04-26 16:53:24
A3,A3_BA_H4_fc320_t27,BA,27,4.0,30.0,30.0,320,4000,5000,4226.09,644,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.32,2569-04-26 16:53:24
A3,A3_BA_H4_fc320_t28,BA,28,4.0,30.0,30.0,320,4000,5000,4226.09,913,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.33,2569-04-26 16:53:24
A3,A3_BA_H4_fc320_t29,BA,29,4.0,30.0,30.0,320,4000,5000,4226.09,1235,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.34,2569-04-26 16:53:25
A3,A3_BA_H4_fc320_t30,BA,30,4.0,30.0,30.0,320,4000,5000,4226.09,383,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.36,2569-04-26 16:53:25
A3,A3_HCA_H4_fc320_t01,HCA,1,4.0,30.0,30.0,320,4000,5000,4226.09,1921,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:25
A3,A3_HCA_H4_fc320_t02,HCA,2,4.0,30.0,30.0,320,4000,5000,4226.09,3612,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:26
A3,A3_HCA_H4_fc320_t03,HCA,3,4.0,30.0,30.0,320,4000,5000,4226.09,2181,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:26
A3,A3_HCA_H4_fc320_t04,HCA,4,4.0,30.0,30.0,320,4000,5000,4226.09,2608,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:26
A3,A3_HCA_H4_fc320_t05,HCA,5,4.0,30.0,30.0,320,4000,5000,4226.09,320,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:26
A3,A3_HCA_H4_fc320_t06,HCA,6,4.0,30.0,30.0,320,4000,5000,4226.09,1679,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:26
A3,A3_HCA_H4_fc320_t07,HCA,7,4.0,30.0,30.0,320,4000,5000,4226.09,1803,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:27
A3,A3_HCA_H4_fc320_t08,HCA,8,4.0,30.0,30.0,320,4000,5000,4236.52,2300,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,16,0.25,12,0.15,0.18,2569-04-26 16:53:27
A3,A3_HCA_H4_fc320_t09,HCA,9,4.0,30.0,30.0,320,4000,5000,4226.09,4373,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:27
A3,A3_HCA_H4_fc320_t10,HCA,10,4.0,30.0,30.0,320,4000,5000,4226.09,1642,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:27
A3,A3_HCA_H4_fc320_t11,HCA,11,4.0,30.0,30.0,320,4000,5000,4236.52,1727,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,16,0.25,12,0.15,0.20,2569-04-26 16:53:27
A3,A3_HCA_H4_fc320_t12,HCA,12,4.0,30.0,30.0,320,4000,5000,4226.09,928,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:27
A3,A3_HCA_H4_fc320_t13,HCA,13,4.0,30.0,30.0,320,4000,5000,4226.09,2823,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:28
A3,A3_HCA_H4_fc320_t14,HCA,14,4.0,30.0,30.0,320,4000,5000,4226.09,2211,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:28
A3,A3_HCA_H4_fc320_t15,HCA,15,4.0,30.0,30.0,320,4000,5000,4226.09,2398,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.21,2569-04-26 16:53:28
A3,A3_HCA_H4_fc320_t16,HCA,16,4.0,30.0,30.0,320,4000,5000,4226.09,463,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:28
A3,A3_HCA_H4_fc320_t17,HCA,17,4.0,30.0,30.0,320,4000,5000,4226.09,3964,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:28
A3,A3_HCA_H4_fc320_t18,HCA,18,4.0,30.0,30.0,320,4000,5000,4226.09,459,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:29
A3,A3_HCA_H4_fc320_t19,HCA,19,4.0,30.0,30.0,320,4000,5000,4226.09,1216,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:29
A3,A3_HCA_H4_fc320_t20,HCA,20,4.0,30.0,30.0,320,4000,5000,4226.09,3194,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:29
A3,A3_HCA_H4_fc320_t21,HCA,21,4.0,30.0,30.0,320,4000,5000,4226.09,4490,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:29
A3,A3_HCA_H4_fc320_t22,HCA,22,4.0,30.0,30.0,320,4000,5000,4239.36,1817,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,16,0.25,0.19,2569-04-26 16:53:29
A3,A3_HCA_H4_fc320_t23,HCA,23,4.0,30.0,30.0,320,4000,5000,4226.09,376,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.17,2569-04-26 16:53:30
A3,A3_HCA_H4_fc320_t24,HCA,24,4.0,30.0,30.0,320,4000,5000,4226.09,2265,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:30
A3,A3_HCA_H4_fc320_t25,HCA,25,4.0,30.0,30.0,320,4000,5000,4226.09,956,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:30
A3,A3_HCA_H4_fc320_t26,HCA,26,4.0,30.0,30.0,320,4000,5000,4226.09,301,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.19,2569-04-26 16:53:30
A3,A3_HCA_H4_fc320_t27,HCA,27,4.0,30.0,30.0,320,4000,5000,4226.09,1692,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:30
A3,A3_HCA_H4_fc320_t28,HCA,28,4.0,30.0,30.0,320,4000,5000,4226.09,2997,1,2.865,2.270,3.062,0.200,0.200,0.300,2.000,0.700,1.100,12,0.25,12,0.15,12,0.15,0.20,2569-04-26 16:53:31
A3,A3_HCA_H4_fc320_t29,HCA,29,4.0,30.0,30.0,320,4000,5000,4226.09,1005,1,2.796,2.207,3.229,0.200,0.200,0.300,2.000,0.800,1.000,12,0.25,12,0.15,12,0.15,0.18,2569-04-26 16:53:31
A3,A3_HCA_H4_fc320_t30,HCA,30,4.0,30.0,30.0,320,4000,5000,4255.47,4605,1,2.972,2.396,2.717,0.200,0.200,0.300,2.000,0.500,1.300,12,0.25,12,0.25,16,0.20,0.18,2569-04-26 16:53:31
A3,A3_BA_H5_fc240_t01,BA,1,5.0,30.0,30.0,240,4000,5000,5459.80,518,1,2.365,1.852,2.432,0.200,0.200,0.300,2.500,1.000,1.300,12,0.25,20,0.20,20,0.20,0.34,2569-04-26 16:53:31
A3,A3_BA_H5_fc240_t02,BA,2,5.0,30.0,30.0,240,4000,5000,5529.39,239,1,2.468,1.962,2.231,0.200,0.200,0.300,2.500,0.800,1.500,12,0.25,20,0.25,25,0.25,0.33,2569-04-26 16:53:32
A3,A3_BA_H5_fc240_t03,BA,3,5.0,30.0,30.0,240,4000,5000,5459.80,2548,1,2.365,1.852,2.432,0.200,0.200,0.300,2.500,1.000,1.300,12,0.25,20,0.20,20,0.20,0.33,2569-04-26 16:53:32
